"journal","n_articles","pct_colon","mean_cites"
"Journal of Medical Ethics",1375,51.5636363636364,0.191124386724387
"Studies in History and Philosophy of Science",745,42.1476510067114,0.470906040268456
"Philosophy Compass",651,37.0199692780338,0.374386779801527
"Philosophical Psychology",589,34.295415959253,0.680191069070526
"Topoi",762,33.4645669291339,0.408247406574178
"European Journal of Philosophy",655,30.5343511450382,0.408484793408458
"Philosophia",1119,28.686327077748,0.198584691547158
"Ethical Theory and Moral Practice",591,25.8883248730964,0.43910576639003
"Synthese",4051,24.8333744754382,0.550856539439616
"Philosophy of Science",784,24.4897959183673,0.710111455296404
"Philosophical Studies",1745,18.6246418338109,0.890205121207985
"Erkenntnis",985,17.5634517766497,0.758713641124809
"Philosophy and Phenomenological Research",725,16.9655172413793,1.23232293377121
"Journal of Symbolic Logic",739,3.382949932341,0.125323796636381
"Journal of Consciousness Studies",663,2.71493212669683,0.28198723934018
