"journal","n_articles","mean_total_cites","mean_cites_per_year"
"Synthese",4051,2.95754134781523,0.550856539439616
"Philosophical Studies",1745,5.34154727793692,0.890205121207985
"Journal of Medical Ethics",1375,0.962181818181818,0.191124386724387
"Philosophia",1119,0.959785522788209,0.198584691547158
"Erkenntnis",985,3.18274111675129,0.758713641124809
"Philosophy of Science",784,4.10076530612247,0.710111455296404
"Topoi",762,1.83989501312336,0.408247406574178
"Studies in History and Philosophy of Science",745,2.57852348993289,0.470906040268456
"Journal of Symbolic Logic",739,0.713125845737486,0.125323796636381
"Philosophy and Phenomenological Research",725,6.49241379310347,1.23232293377121
"Journal of Consciousness Studies",663,1.73604826546003,0.28198723934018
"European Journal of Philosophy",655,2.19541984732824,0.408484793408458
"Philosophy Compass",651,2.92626728110599,0.374386779801527
"Ethical Theory and Moral Practice",591,2.43485617597293,0.43910576639003
"Philosophical Psychology",589,2.7911714770798,0.680191069070526
"Inquiry",578,3.60726643598616,1.0465480309771
"Heythrop Journal",574,0.139372822299651,0.0255426967534981
"Theory and Decision",558,0.336917562724016,0.052636968766001
"Australasian Journal of Philosophy",531,4.97928436911487,0.946800735360057
"British Journal for the History of Philosophy",529,1.19092627599244,0.255326011942269
"Analysis",496,2.93951612903226,0.588010432667691
"European Journal for Philosophy of Science",480,1.81041666666668,0.263374669312169
"Journal of Applied Philosophy",477,1.94968553459119,0.388619347109913
"Biology and Philosophy",469,2.20682302771856,0.29858276643991
"Studia Logica",457,1.31728665207877,0.237206071341739
"Philosophical Quarterly",453,4.13245033112583,0.776349907144609
"British Journal for the Philosophy of Science",442,7.2443438914027,1.40537150757739
"Philosophy East and West",441,0.503401360544218,0.075407623366807
"Journal of Philosophical Logic",433,4.06697459584295,0.724739726529565
"Metaphilosophy",421,1.24228028503563,0.215342344380349
"Hypatia",419,1.67541766109786,0.269175474485737
"Social Epistemology",419,1.95226730310263,0.4899931810433
"Noûs",413,11.4188861985472,2.05283927130174
"Ethics and Information Technology",408,1.36029411764705,0.22861227824463
"Canadian Journal of Philosophy",402,3.8457711442786,0.615091210613599
"Ergo",386,2.94559585492229,0.544176124681306
"Mind & Language",379,4.08707124010554,0.943271767810026
"Pacific Philosophical Quarterly",377,3.86206896551723,0.648091659298556
"Episteme",364,4.46978021978022,1.10610173556602
"Review of Symbolic Logic",363,3.05509641873279,0.590970309152127
"Journal of Value Inquiry",355,1.13521126760563,0.20614129219763
"South African Journal of Philosophy",346,0.612716763005781,0.0878039269657768
"Journal of the American Philosophical Association",341,3.40762463343108,0.644591072010427
