"journal","n_total","mean_cites_colon_FALSE","mean_cites_colon_TRUE","n_colon_FALSE","n_colon_TRUE","colon_effect","colon_advantage","overall_mean"
"Philosophical Review",101,2.21822660098522,1.48687641723356,87,14,-0.731350183751662,FALSE,2.11685132798994
"Noûs",413,1.99892814009662,2.49371252204586,368,45,0.494784381949237,TRUE,2.05283927130174
"Journal of Political Philosophy",217,0.775399659863946,0.398917748917749,140,77,-0.376481910946197,FALSE,0.641809304366908
"Mind",328,1.50727419081512,1.2152566700439,281,47,-0.292017520771212,FALSE,1.46543021680217
"Journal of Philosophy",247,0.93464981569247,1.22091049382716,211,36,0.286260678134691,TRUE,0.976372019793072
"Kennedy Institute of Ethics Journal",160,0.404962962962963,0.143193277310924,75,85,-0.261769685652039,FALSE,0.265897817460317
"Philosophical Perspectives",129,1.04469759168035,0.799206349206349,116,13,-0.245491242474001,FALSE,1.01995816414421
"Journal of Consciousness Studies",663,0.275431893687708,0.516887125220459,645,18,0.24145523153275,TRUE,0.281987239340181
"Journal of Philosophical Logic",433,0.69233870967742,0.922332812906583,372,61,0.229994103229164,TRUE,0.724739726529565
"Social Epistemology",419,0.586733445213622,0.375617972883598,227,192,-0.211115472330024,FALSE,0.489993181043301
"Philosophical Quarterly",453,0.810615864639611,0.600852638352638,379,74,-0.209763226286973,FALSE,0.776349907144609
"Inquiry",578,1.09413630011824,0.890388007054674,443,135,-0.203748293063567,FALSE,1.0465480309771
"Episteme",364,1.07033830367164,1.26463515754561,297,67,0.194296853873968,TRUE,1.10610173556602
"Res Philosophica",293,0.350614799910574,0.15797123015873,213,80,-0.192643569751844,FALSE,0.298015873015873
"Philosophy Compass",651,0.444725125822687,0.254724033458473,410,241,-0.190001092364214,FALSE,0.374386779801527
"Australasian Journal of Philosophy",531,0.974819786229182,0.797699357520786,447,84,-0.177120428708396,FALSE,0.946800735360057
"Hypatia",419,0.375103415103415,0.200364016997875,165,254,-0.17473939810554,FALSE,0.269175474485737
"Utilitas",237,0.430637125220458,0.260171261487051,180,57,-0.170465863733408,FALSE,0.389639006094702
"Journal of the American Philosophical Association",341,0.608293054063731,0.773328042328042,266,75,0.165034988264312,TRUE,0.644591072010427
"Journal of Aesthetics and Art Criticism",317,0.41935013168197,0.25596082404593,223,94,-0.16338930763604,FALSE,0.370900305442892
"Ergo",386,0.518442582794434,0.678654633896569,324,62,0.160212051102135,TRUE,0.544176124681306
"Studies in History and Philosophy of Science",745,0.530783891282732,0.388717015468608,431,314,-0.142066875814124,FALSE,0.470906040268457
"Journal of Philosophical Research",205,0.209781746031746,0.0732363315696649,160,45,-0.136545414462081,FALSE,0.179808362369338
"Philosophy & Public Affairs",130,1.23931566337227,1.10843253968254,106,24,-0.130883123689728,FALSE,1.21515262515263
"Canadian Journal of Philosophy",402,0.588767739702319,0.719410150891632,321,81,0.130642411189313,TRUE,0.615091210613599
"Philosophy of the Social Sciences",236,0.290756142639704,0.167045855379189,146,90,-0.123710287260516,FALSE,0.243578490718321
"British Journal for the Philosophy of Science",442,1.43144499178982,1.30884414049308,348,94,-0.122600851296743,FALSE,1.40537150757739
"Studia Logica",457,0.225126439464675,0.337787495950761,408,49,0.112661056486086,TRUE,0.237206071341739
