"journal","n_total","journal_median_length","mean_cites_long_FALSE","mean_cites_long_TRUE","n_long_FALSE","n_long_TRUE","length_effect","long_advantage","overall_mean"
"Philosophical Review",101,5,2.52355394135055,1.54553099017385,59,42,-0.978022951176704,FALSE,2.11685132798994
"Philosophical Perspectives",129,5,0.801258226867983,1.40151975683891,82,47,0.600261529970923,TRUE,1.01995816414421
"Philosophy and Phenomenological Research",725,5,1.39342916244512,1.05875289944058,376,349,-0.334676263004541,FALSE,1.23232293377121
"Topoi",762,7.5,0.556455443069616,0.26003937007874,381,381,-0.296416072990876,FALSE,0.408247406574178
"Noûs",413,5,2.16757072452637,1.88039442039442,248,165,-0.287176304131949,FALSE,2.05283927130174
"Res Philosophica",293,7,0.432619562976706,0.148886605001713,154,139,-0.283732957974993,FALSE,0.298015873015873
"Inquiry",578,6,1.17759421228809,0.910887547507266,294,284,-0.266706664780823,FALSE,1.0465480309771
"Journal of Political Philosophy",217,7,0.754584809130264,0.499665178571429,121,96,-0.254919630558835,FALSE,0.641809304366908
"Economics and Philosophy",201,7,0.668778344671202,0.420554663813091,112,89,-0.248223680858111,FALSE,0.558868356629551
"Mind",328,6,1.54573547367665,1.29956608811749,221,107,-0.24616938555916,FALSE,1.46543021680217
"Ethics",241,6,1.27595775152166,1.03195546737213,133,108,-0.244002284149527,FALSE,1.16661232957913
"Analytic Philosophy",190,6,0.752130128781072,0.51119142101285,106,84,-0.240938707768223,FALSE,0.645609857978279
"Kennedy Institute of Ethics Journal",160,10,0.370983245149912,0.13078798185941,90,70,-0.240195263290501,FALSE,0.265897817460317
"Minds and Machines",293,9,0.605339321357286,0.384256109851348,167,126,-0.221083211505938,FALSE,0.510265994907633
"Philosophy Compass",651,6,0.472262781724108,0.251787773933103,362,289,-0.220475007791006,FALSE,0.374386779801527
"British Journal for the Philosophy of Science",442,7,1.49058308440227,1.27032859927597,271,171,-0.220254485126305,FALSE,1.40537150757739
"Philosophical Studies",1745,6,0.96394922707889,0.772740512747942,1072,673,-0.191208714330948,FALSE,0.890205121207985
"Episteme",364,6,1.18461684514316,1.00023297491039,209,155,-0.184383870232766,FALSE,1.10610173556602
"Studies in History and Philosophy of Science",745,9,0.551440045897877,0.369628427128427,415,330,-0.18181161876945,FALSE,0.470906040268456
"Philosophical Psychology",589,8,0.759815950920245,0.581492546321444,326,263,-0.178323404598801,FALSE,0.680191069070525
"Philosophy of Science",784,7,0.785069005478297,0.608060814687321,452,332,-0.177008190790976,FALSE,0.710111455296404
