word,decade,count,appear,topic,ps_articles,ps_words,t20_count,t20_appear,t20_topic,t20_articles,t20_words
abilities,1980s,156,51,3,584,3177602,1737,734,24,6430,46072214
abilities,1990s,304,93,6,643,4529684,2094,787,36,6242,52955592
abilities,2000s,417,137,10,868,7141270,3646,1025,71,7266,67070891
abilities,2010s,1240,253,23,1678,14295950,5533,1297,105,8647,84731684
ability,1980s,538,172,8,584,3177602,7070,2248,102,6430,46072214
ability,1990s,912,249,19,643,4529684,8070,2633,126,6242,52955592
ability,2000s,1713,382,35,868,7141270,11592,3095,193,7266,67070891
ability,2010s,4263,729,78,1678,14295950,18580,3965,324,8647,84731684
able,1980s,1080,376,11,584,3177602,14028,4384,156,6430,46072214
able,1990s,1615,493,25,643,4529684,16284,4568,259,6242,52955592
able,2000s,2589,656,40,868,7141270,20138,5269,341,7266,67070891
able,2010s,4673,1225,78,1678,14295950,24256,6437,405,8647,84731684
absence,1980s,274,151,0,584,3177602,4510,2141,25,6430,46072214
absence,1990s,455,215,3,643,4529684,4873,2250,33,6242,52955592
absence,2000s,873,339,10,868,7141270,7031,2844,66,7266,67070891
absence,2010s,1975,632,21,1678,14295950,9179,3357,90,8647,84731684
absolute,1980s,511,100,9,584,3177602,5645,1462,112,6430,46072214
absolute,1990s,459,93,9,643,4529684,4959,1356,99,6242,52955592
absolute,2000s,511,119,11,868,7141270,5221,1437,102,7266,67070891
absolute,2010s,833,215,11,1678,14295950,6515,1551,131,8647,84731684
abstract,1980s,625,138,14,584,3177602,6648,2012,121,6430,46072214
abstract,1990s,661,177,16,643,4529684,8784,2552,160,6242,52955592
abstract,2000s,1419,713,19,868,7141270,10733,3942,179,7266,67070891
abstract,2010s,3474,1586,47,1678,14295950,16502,5599,266,8647,84731684
accept,1980s,1088,325,18,584,3177602,10991,3515,153,6430,46072214
accept,1990s,1604,411,38,643,4529684,13112,3685,239,6242,52955592
accept,2000s,2670,586,56,868,7141270,17910,4502,331,7266,67070891
accept,2010s,5876,1201,129,1678,14295950,24460,5521,556,8647,84731684
acceptable,1980s,418,158,7,584,3177602,4423,1901,48,6430,46072214
acceptable,1990s,451,197,2,643,4529684,4538,1862,51,6242,52955592
acceptable,2000s,546,228,6,868,7141270,5352,2112,67,7266,67070891
acceptable,2010s,904,416,10,1678,14295950,5686,2144,81,8647,84731684
acceptance,1980s,447,125,6,584,3177602,4034,1488,59,6430,46072214
acceptance,1990s,538,135,12,643,4529684,4451,1396,73,6242,52955592
acceptance,2000s,591,174,11,868,7141270,5427,1475,108,7266,67070891
acceptance,2010s,1035,336,19,1678,14295950,5783,1691,110,8647,84731684
accepted,1980s,333,168,4,584,3177602,5098,2357,43,6430,46072214
accepted,1990s,484,244,2,643,4529684,4953,2238,45,6242,52955592
accepted,2000s,585,341,2,868,7141270,6169,2917,53,7266,67070891
accepted,2010s,1040,569,3,1678,14295950,8151,4100,48,8647,84731684
accepting,1980s,368,141,6,584,3177602,3355,1518,37,6430,46072214
accepting,1990s,445,178,11,643,4529684,3471,1626,44,6242,52955592
accepting,2000s,607,261,8,868,7141270,4688,1995,59,7266,67070891
accepting,2010s,1484,548,19,1678,14295950,6343,2530,74,8647,84731684
accepts,1980s,318,121,5,584,3177602,2593,1329,22,6430,46072214
accepts,1990s,382,170,7,643,4529684,2758,1457,15,6242,52955592
accepts,2000s,546,248,5,868,7141270,4210,1957,42,7266,67070891
accepts,2010s,1115,552,8,1678,14295950,5041,2400,49,8647,84731684
access,1980s,221,58,2,584,3177602,2931,1112,41,6430,46072214
access,1990s,362,121,7,643,4529684,4233,1490,71,6242,52955592
