Volume,Issue,Type,Count
177,2,APA Pacific,1
176,6,Oberlin,1
176,4,APA Pacific,1
175,5,APA Pacific,1
174,10,APA Pacific,1
174,7,APA Pacific,1
173,10,Topic,1
173,4,Topic,1
173,1,Oberlin,1
172,10,APA Pacific,1
172,7,Topic,1
172,4,Topic,1
172,1,Topic,1
171,1,APA Pacific,1
170,1,Oberlin,1
169,1,APA Pacific,1
168,1,Topic,1
167,1,Bellingham,1
164,1,Bellingham,1
163,1,APA Pacific,1
162,1,Topic,1
161,1,Topic,1
160,1,Topic,1
158,2,Bellingham,1
156,1,Oberlin,1
154,1,Bellingham,1
153,1,APA Pacific,1
149,1,Bellingham,1
148,1,APA Pacific,1
147,1,Topic,1
144,1,APA Pacific,1
143,1,Topic,1
142,1,Conference,1
140,1,Bellingham,1
137,1,APA Pacific,1
136,1,Bellingham,1
135,1,Oberlin,1
134,1,Conference,1
133,1,Bellingham,1
132,1,APA Pacific,1
131,1,Topic,1
130,1,Topic,1
129,1,Bellingham,1
128,1,Topic,1
127,2,APA Pacific,1
126,1,APA Pacific,1
123,1-2,Bellingham,2
120,1-3,Oberlin,3
119,1-2,Topic,2
118,1-2,Topic,2
117,1-2,APA Pacific,2
114,1-2,Bellingham,2
108,1-2,APA Pacific,2
106,1-2,APA Pacific,2
103,1,Oberlin,1
101,2-3,Topic,2
100,3,Topic,1
99,1,APA Pacific,1
95,1-2,Oberlin,2
94,1-2,APA Pacific,2
92,1-2,Topic,2
89,2-3,APA Pacific,2
85,2-3,APA Pacific,2
84,2-3,Topic,2
82,2,Topic,1
81,2-3,APA Pacific,2
77,2-3,APA Pacific,2
76,2-3,Oberlin,2
75,1-2,Topic,2
73,2-3,APA Pacific,2
72,2-3,Topic,2
71,2,Topic,1
69,2-3,APA Pacific,2
68,3,Topic,1
65,1-2,APA Pacific,2
64,1,Topic,1
61,1-2,Oberlin,2
60,1-2,APA Pacific,2
58,1-2,Topic,2
54,1,Topic,1
50,3,Topic,1
41,1,Topic,1
40,3,Topic,1
